Scrape_Timestamp,Days_to_Departure,Departure_Date,Day_of_Week,Departure_Time,Arrival_Time,Source_City,Destination_City,Airline,Flight_Number,Total_Duration_Mins,Number_of_Stops,CO2_Emissions_Grams,Price_Level,Flight_Category,Price_INR
2026-06-02 17:00:44,7,2026-06-09,Tuesday,4:05 AM,6:05 AM,BOM,MAA,IndiGo,,120,0,81000,High,Best,11108
2026-06-02 17:00:44,7,2026-06-09,Tuesday,2:45 AM,8:15 AM,BOM,MAA,IndiGo,LR 104,330,1,104000,High,Cheapest,11007
2026-06-02 17:00:59,14,2026-06-16,Tuesday,5:00 AM,7:00 AM,BOM,MAA,Akasa Air,,120,0,78000,Typical,Best,10799
2026-06-02 17:00:59,14,2026-06-16,Tuesday,5:00 AM,7:00 AM,BOM,MAA,Akasa Air,,120,0,78000,Typical,Cheapest,10799
2026-06-02 17:01:12,30,2026-07-02,Thursday,4:05 AM,6:05 AM,BOM,MAA,IndiGo,,120,0,82000,Typical,Best,10674
2026-06-02 17:01:12,30,2026-07-02,Thursday,4:00 AM,9:15 AM,BOM,MAA,IndiGo,MD 153,315,1,153000,Typical,Cheapest,10443
2026-06-02 17:01:27,60,2026-08-01,Saturday,4:05 AM,6:05 AM,BOM,MAA,IndiGo,,120,0,83000,High,Best,11108
2026-06-02 17:01:27,60,2026-08-01,Saturday,8:05 AM,1:55 PM,BOM,MAA,IndiGo,LR 107,350,1,107000,High,Cheapest,11007
2026-06-02 17:01:41,1,2026-06-03,Wednesday,1:10 AM,7:35 AM,BOM,CCU,IndiGo,LR 177,385,1,177000,High,Best,14772
2026-06-02 17:01:41,1,2026-06-03,Wednesday,1:10 AM,7:35 AM,BOM,CCU,IndiGo,LR 177,385,1,177000,High,Cheapest,14772
2026-06-02 17:01:55,3,2026-06-05,Friday,2:45 AM,5:30 AM,BOM,CCU,IndiGo,,165,0,117000,,Best,15207
2026-06-02 17:01:55,3,2026-06-05,Friday,2:45 AM,5:30 AM,BOM,CCU,IndiGo,,165,0,117000,,Cheapest,15207
2026-06-02 17:02:10,7,2026-06-09,Tuesday,4:30 AM,10:35 AM,BOM,CCU,IndiGo,LR 176,365,1,176000,High,Best,14913
2026-06-02 17:02:10,7,2026-06-09,Tuesday,4:30 AM,10:35 AM,BOM,CCU,IndiGo,LR 176,365,1,176000,High,Cheapest,14913
2026-06-02 17:02:24,14,2026-06-16,Tuesday,8:10 PM,11:15 PM,BOM,CCU,Akasa Air,,185,0,118000,,Best,14572
2026-06-02 17:02:24,14,2026-06-16,Tuesday,2:45 AM,8:05 AM,BOM,CCU,IndiGo,YD 147,320,1,147000,,Cheapest,13809
2026-06-02 17:02:36,30,2026-07-02,Thursday,12:35 AM,3:20 AM,BOM,CCU,Akasa Air,,165,0,113000,Typical,Best,11099
2026-06-02 17:02:36,30,2026-07-02,Thursday,12:35 AM,3:20 AM,BOM,CCU,Akasa Air,,165,0,113000,Typical,Cheapest,11099
2026-06-02 17:02:53,60,2026-08-01,Saturday,5:20 PM,8:15 PM,BOM,CCU,Akasa Air,,175,0,122000,High,Best,12695
2026-06-02 17:02:53,60,2026-08-01,Saturday,10:45 AM,5:00 PM,BOM,CCU,IndiGo,XR 139,375,1,139000,High,Cheapest,12512
2026-06-02 17:03:13,1,2026-06-03,Wednesday,6:35 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 155,460,1,155000,,Best,
2026-06-02 17:03:13,1,2026-06-03,Wednesday,6:35 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 155,460,1,155000,,Cheapest,
2026-06-02 17:03:24,3,2026-06-05,Friday,7:55 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 155,380,1,155000,,Best,
2026-06-02 17:03:24,3,2026-06-05,Friday,7:55 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 155,380,1,155000,,Cheapest,
2026-06-02 17:03:35,7,2026-06-09,Tuesday,7:55 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 165,380,1,165000,,Best,
