filename,hist_r_00,hist_r_01,hist_r_02,hist_r_03,hist_r_04,hist_r_05,hist_r_06,hist_r_07,hist_r_08,hist_r_09,hist_r_10,hist_r_11,hist_r_12,hist_r_13,hist_r_14,hist_r_15,hist_r_16,hist_r_17,hist_r_18,hist_r_19,hist_r_20,hist_r_21,hist_r_22,hist_r_23,hist_r_24,hist_r_25,hist_r_26,hist_r_27,hist_r_28,hist_r_29,hist_r_30,hist_r_31,hist_g_00,hist_g_01,hist_g_02,hist_g_03,hist_g_04,hist_g_05,hist_g_06,hist_g_07,hist_g_08,hist_g_09,hist_g_10,hist_g_11,hist_g_12,hist_g_13,hist_g_14,hist_g_15,hist_g_16,hist_g_17,hist_g_18,hist_g_19,hist_g_20,hist_g_21,hist_g_22,hist_g_23,hist_g_24,hist_g_25,hist_g_26,hist_g_27,hist_g_28,hist_g_29,hist_g_30,hist_g_31,hist_b_00,hist_b_01,hist_b_02,hist_b_03,hist_b_04,hist_b_05,hist_b_06,hist_b_07,hist_b_08,hist_b_09,hist_b_10,hist_b_11,hist_b_12,hist_b_13,hist_b_14,hist_b_15,hist_b_16,hist_b_17,hist_b_18,hist_b_19,hist_b_20,hist_b_21,hist_b_22,hist_b_23,hist_b_24,hist_b_25,hist_b_26,hist_b_27,hist_b_28,hist_b_29,hist_b_30,hist_b_31,mean_r,std_r,mean_g,std_g,mean_b,std_b
img_1.jpg,0.001408,0.005873,0.017752,0.025733,0.028848,0.035315,0.034835,0.035373,0.037331,0.046529,0.052515,0.049998,0.045596,0.043321,0.030677,0.028637,0.027294,0.025619,0.023908,0.02411,0.022725,0.023088,0.025323,0.034256,0.043206,0.040417,0.051252,0.038387,0.040827,0.029923,0.017706,0.012217,4.2e-05,0.000471,0.006115,0.022965,0.027408,0.035646,0.03894,0.03974,0.041144,0.04371,0.046938,0.043963,0.043844,0.043123,0.0493,0.034892,0.031546,0.031358,0.026192,0.026698,0.025948,0.025621,0.039917,0.047958,0.044308,0.041817,0.028529,0.023198,0.029087,0.034344,0.017583,0.007658,0.0022,0.002596,0.00381,0.01074,0.025279,0.027694,0.029531,0.033858,0.038575,0.039973,0.041048,0.03966,0.03669,0.033725,0.03571,0.043469,0.056427,0.061027,0.059713,0.045919,0.036473,0.036517,0.035696,0.035952,0.034821,0.030792,0.026423,0.023912,0.021221,0.015423,0.019125,0.016002,131.5875,67.0003,131.2011,62.8071,133.7918,58.1035
img_2.jpg,0.060002,0.017065,0.026483,0.027529,0.032994,0.042206,0.047379,0.050283,0.047625,0.045821,0.046356,0.040579,0.035744,0.030325,0.029444,0.025369,0.024354,0.021956,0.021188,0.017313,0.01905,0.020323,0.02215,0.025935,0.02841,0.031133,0.031548,0.033246,0.035571,0.02716,0.021258,0.0142,0.003933,0.011558,0.019906,0.035752,0.045265,0.062812,0.061756,0.057771,0.055594,0.054319,0.066433,0.062204,0.037692,0.031194,0.027154,0.023517,0.021473,0.022406,0.025025,0.027846,0.026994,0.030113,0.036148,0.039258,0.034319,0.032075,0.021073,0.016317,0.0079,0.001883,0.000279,3.1e-05,0.019106,0.016056,0.019806,0.026944,0.044185,0.071231,0.105156,0.122838,0.119798,0.086465,0.056123,0.043392,0.033581,0.025665,0.021346,0.01624,0.012783,0.010206,0.007969,0.006229,0.005665,0.005325,0.005469,0.005971,0.006054,0.005629,0.005237,0.005815,0.010548,0.032183,0.035315,0.011671,114.2584,73.3672,105.7144,59.0045,87.9995,61.0033
img_3.jpg,0.002469,0.012419,0.018954,0.013437,0.012762,0.016063,0.019681,0.020646,0.021717,0.02094,0.022198,0.021731,0.020442,0.021438,0.035479,0.050817,0.056892,0.050204,0.050042,0.035992,0.034142,0.034583,0.027637,0.029558,0.030048,0.028627,0.03106,0.035037,0.038973,0.041617,0.044054,0.100342,0.003575,0.015096,0.021083,0.019325,0.019831,0.027846,0.029752,0.029056,0.029002,0.02969,0.029392,0.029729,0.030348,0.030838,0.044648,0.077283,0.05334,0.039823,0.039988,0.046325,0.064558,0.064012,0.040646,0.029967,0.022869,0.017858,0.018485,0.01925,0.023369,0.025777,0.020104,0.007135,0.002812,0.006865,0.013744,0.018585,0.016202,0.017623,0.020635,0.025006,0.0304,0.034229,0.044379,0.062523,0.057231,0.05035,0.077498,0.079446,0.054292,0.047337,0.04235,0.036846,0.028792,0.021629,0.018992,0.017346,0.017565,0.019867,0.018277,0.020452,0.024592,0.027737,0.029115,0.017283,156.0701,67.9407,131.1299,59.7681,128.8883,58.2421
img_4.jpg,0.039042,0.03299,0.053785,0.0252,0.023065,0.027919,0.037267,0.049446,0.052483,0.041502,0.033729,0.026983,0.022238,0.017323,0.013625,0.013452,0.013729,0.013802,0.014444,0.015615,0.015221,0.017798,0.01806,0.024071,0.031733,0.029723,0.033056,0.03345,0.034752,0.040638,0.045548,0.108313,0.010065,0.005669,0.007065,0.008471,0.013921,0.059271,0.065873,0.054327,0.05971,0.07006,0.084321,0.069419,0.050302,0.04675,0.046533,0.030992,0.017477,0.014708,0.014758,0.013779,0.014427,0.014092,0.016321,0.014106,0.021283,0.028354,0.02846,0.03376,0.031067,0.042015,0.010154,0.00249,0.003006,0.004708,0.00691,0.008152,0.009525,0.015954,0.046415,0.102525,0.092502,0.087677,0.084504,0.070244,0.042769,0.030308,0.023956,0.020385,0.01955,0.021435,0.028223,0.036208,0.019835,0.015629,0.01621,0.013073,0.011229,0.008177,0.008608,0.015833,0.012154,0.012458,0.026031,0.085802,132.5146,85.7211,114.566,63.216,118.6161,66.6287
img_5.jpg,0.0002,0.001979,0.016992,0.046592,0.049356,0.044546,0.043785,0.043202,0.042987,0.038633,0.03734,0.037871,0.036142,0.033767,0.03191,0.029198,0.026729,0.0248,0.024406,0.032515,0.057848,0.04999,0.036029,0.028771,0.022806,0.02445,0.0279,0.029329,0.027417,0.023096,0.017812,0.011602,0.001204,0.005962,0.017421,0.035754,0.06064,0.0821,0.078754,0.07685,0.071127,0.061375,0.051,0.0412,0.034323,0.032631,0.023448,0.02176,0.020981,0.019523,0.018608,0.016477,0.014898,0.020021,0.0472,0.056608,0.032738,0.012631,0.010219,0.012169,0.010531,0.007669,0.003302,0.000875,0.004117,0.010385,0.012917,0.019287,0.029935,0.047969,0.062048,0.063098,0.06436,0.062406,0.053021,0.046306,0.043054,0.045842,0.057981,0.058483,0.04824,0.03965,0.031356,0.030848,0.024948,0.020954,0.018331,0.017929,0.014775,0.013148,0.012358,0.011677,0.010956,0.010637,0.009429,0.003552,123.3258,65.9651,100.2976,59.1409,106.4168,54.2244
img_6.jpg,0.021952,0.05381,0.059771,0.074469,0.095523,0.088065,0.08391,0.076906,0.06105,0.051037,0.032779,0.03031,0.025171,0.022485,0.019387,0.018775,0.018163,0.015288,0.014871,0.014535,0.014858,0.016421,0.012788,0.013092,0.011896,0.010229,0.00976,0.008492,0.006987,0.005552,0.005569,0.006098,0.000704,0.020829,0.042662,0.045458,0.047558,0.07111,0.106902,0.094581,0.079363,0.070873,0.067394,0.05885,0.049233,0.036385,0.02776,0.025115,0.022917,0.014827,0.010865,0.011094,0.010279,0.011088,0.012533,0.009729,0.011658,0.011179,0.00854,0.007831,0.005773,0.003279,0.002781,0.000848,0.000194,0.000294,0.001269,0.01074,0.036213,0.029535,0.035571,0.038798,0.040823,0.040448,0.037613,0.038375,0.047315,0.057096,0.081833,0.071223,0.064771,0.059379,0.054927,0.054002,0.044146,0.034612,0.025415,0.01866,0.015719,0.011056,0.010419,0.009008,0.010494,0.008006,0.005583,0.006465,76.0843,57.6924,82.2103,48.9379,119.8622,49.1345
img_7.jpg,0.004715,0.015665,0.024165,0.055552,0.227356,0.069308,0.06956,0.181069,0.112994,0.043846,0.027567,0.009544,0.00669,0.005558,0.004992,0.004956,0.005448,0.00605,0.008423,0.012492,0.023644,0.011135,0.009856,0.010937,0.01301,0.0167,0.008465,0.004717,0.002456,0.001181,0.000935,0.001015,0.000102,0.000733,0.009654,0.017819,0.030494,0.207729,0.102285,0.045735,0.120848,0.065417,0.058898,0.067942,0.095733,0.035471,0.013917,0.011871,0.01139,0.01191,0.011019,0.011562,0.013344,0.02345,0.012,0.004825,0.003204,0.00345,0.004056,0.003033,0.00145,0.000479,0.000144,3.5e-05,0.000487,0.000856,0.003267,0.011608,0.01339,0.023319,0.192152,0.083879,0.041923,0.096533,0.048804,0.035471,0.031573,0.041452,0.036967,0.033167,0.033737,0.047673,0.096121,0.048248,0.014117,0.010354,0.008629,0.008879,0.008367,0.009923,0.013813,0.002442,0.001458,0.000858,0.000323,0.00021,68.4479,48.6649,78.6838,39.7095,97.9625,45.8766
img_8.jpg,0.001687,0.007427,0.021046,0.030433,0.040973,0.052008,0.064748,0.065252,0.075415,0.076983,0.0701,0.059729,0.050071,0.04365,0.037773,0.04075,0.046004,0.045948,0.031973,0.01655,0.012725,0.010975,0.009873,0.012502,0.013312,0.015069,0.013577,0.014171,0.008856,0.003694,0.002544,0.004181,3.3e-05,0.000519,0.005477,0.018881,0.024581,0.02901,0.044104,0.060817,0.079012,0.086979,0.084888,0.072358,0.068742,0.061871,0.052875,0.047817,0.044692,0.050181,0.058833,0.029831,0.015621,0.01094,0.009492,0.010435,0.008185,0.005938,0.00586,0.005073,0.004137,0.002208,0.000513,9.6e-05,7.9e-05,0.00041,0.001454,0.007415,0.01451,0.013083,0.01835,0.049502,0.092167,0.090894,0.067192,0.055129,0.050019,0.049635,0.052515,0.054562,0.060406,0.077854,0.06505,0.044171,0.037675,0.027412,0.021258,0.013829,0.009004,0.006081,0.005331,0.004979,0.004535,0.002875,0.001538,0.001083,97.592,51.5979,100.8149,41.823,112.2167,42.5832
img_9.jpg,0.010027,0.035108,0.06706,0.095215,0.080379,0.062756,0.042029,0.03639,0.036875,0.048865,0.053015,0.036094,0.031277,0.028971,0.02665,0.024396,0.021352,0.020285,0.019654,0.020598,0.027796,0.040885,0.018419,0.014444,0.015187,0.021044,0.020652,0.01044,0.009356,0.009975,0.008829,0.005977,0.004087,0.014323,0.042956,0.072867,0.080317,0.094758,0.070542,0.055642,0.048777,0.043646,0.040296,0.034958,0.030585,0.027244,0.025327,0.027975,0.044673,0.035994,0.021123,0.020792,0.017606,0.014467,0.015098,0.01789,0.038104,0.011852,0.013956,0.017621,0.011467,0.002802,0.001767,0.00049,0.004696,0.011856,0.023448,0.040758,0.052942,0.070337,0.081756,0.077952,0.066279,0.06014,0.058865,0.060631,0.034902,0.029669,0.026727,0.023683,0.019858,0.019613,0.018498,0.019033,0.017631,0.01644,0.014952,0.012698,0.011746,0.010412,0.008594,0.006375,0.005456,0.00744,0.01786,0.068752,91.8436,64.5592,91.6192,59.3005,101.7764,67.1486
img_10.jpg,0.001631,0.020806,0.055998,0.097248,0.07705,0.029021,0.024906,0.030656,0.031908,0.025133,0.024144,0.022363,0.023879,0.046892,0.051581,0.032417,0.02641,0.038121,0.028604,0.035823,0.043379,0.04306,0.032167,0.023935,0.021065,0.019965,0.019779,0.018863,0.016129,0.01395,0.01174,0.011377,0.000435,0.002662,0.0213,0.084669,0.102775,0.11739,0.055444,0.054054,0.055106,0.050227,0.044,0.041013,0.027592,0.02444,0.023575,0.026608,0.039098,0.046548,0.021542,0.021042,0.024896,0.025531,0.021973,0.017071,0.014623,0.00961,0.00759,0.005323,0.004094,0.003648,0.003267,0.002856,0.003304,0.008121,0.018513,0.037696,0.05644,0.10386,0.127494,0.090904,0.055273,0.049279,0.046731,0.042375,0.030715,0.028615,0.030306,0.030546,0.029606,0.02429,0.023438,0.028735,0.050794,0.024708,0.020458,0.013229,0.005917,0.004415,0.003713,0.003108,0.002406,0.002017,0.001512,0.001483,109.1104,67.598,88.4719,54.9083,87.7996,50.0828
